epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1746.92,2.0735,1.21447,0.83012,0.72615,0.45523,0.53902,0.23189,2.16638,1.2695,0.82681,8.0695e-05,8.0695e-05,8.0695e-05
41,1787.9,2.08806,1.18358,0.82477,0.73011,0.45746,0.54112,0.2317,2.16434,1.26755,0.8264,8.02e-05,8.02e-05,8.02e-05
42,1827.81,2.14675,1.21761,0.83184,0.72997,0.45647,0.54019,0.23143,2.166,1.26773,0.82643,7.9705e-05,7.9705e-05,7.9705e-05
43,1871.2,2.25781,3.97353,0.85792,0.73081,0.46018,0.54567,0.23171,2.18134,1.2561,0.82713,7.921e-05,7.921e-05,7.921e-05
44,1912.55,2.0598,1.18581,0.83188,0.73326,0.46179,0.54744,0.23244,2.18589,1.25615,0.82757,7.8715e-05,7.8715e-05,7.8715e-05
45,1957.63,2.22702,1.17508,0.81786,0.7359,0.4624,0.54866,0.23255,2.18959,1.25608,0.82806,7.822e-05,7.822e-05,7.822e-05
46,1999.9,2.22553,1.20446,0.8336,0.73285,0.46141,0.54625,0.23202,2.1917,1.25509,0.82818,7.7725e-05,7.7725e-05,7.7725e-05
47,2042.92,2.20184,1.19239,0.82682,0.7337,0.46104,0.54567,0.23158,2.19661,1.25293,0.82867,7.723e-05,7.723e-05,7.723e-05
48,2083.53,2.18689,1.22671,0.8489,0.73337,0.46067,0.54505,0.23138,2.19377,1.25056,0.82837,7.6735e-05,7.6735e-05,7.6735e-05
49,2126.23,2.14477,1.19639,0.83572,0.73077,0.45845,0.54355,0.23148,2.18937,1.25037,0.8279,7.624e-05,7.624e-05,7.624e-05
50,2168.12,2.13148,1.20803,0.83782,0.73302,0.45907,0.54413,0.23169,2.18125,1.25173,0.82756,7.5745e-05,7.5745e-05,7.5745e-05
51,2210,2.20543,1.17141,0.81305,0.73253,0.45894,0.54296,0.23185,2.17235,1.25282,0.8268,7.525e-05,7.525e-05,7.525e-05
52,2249.36,2.13858,1.20149,0.83563,0.73368,0.45894,0.54372,0.23312,2.16701,1.25316,0.82618,7.4755e-05,7.4755e-05,7.4755e-05
53,2291.97,2.09854,1.17247,0.82109,0.73194,0.45832,0.54246,0.23238,2.16826,1.25156,0.82604,7.426e-05,7.426e-05,7.426e-05
54,2332.9,2.18251,1.17888,0.82893,0.73394,0.45944,0.54403,0.2331,2.17105,1.25114,0.82604,7.3765e-05,7.3765e-05,7.3765e-05
55,2374.85,2.11982,1.17545,0.82392,0.73302,0.45873,0.54331,0.23393,2.1687,1.25255,0.82612,7.327e-05,7.327e-05,7.327e-05
56,2417.98,2.1328,1.15959,0.80783,0.72918,0.45845,0.54289,0.23463,2.16434,1.25183,0.82529,7.2775e-05,7.2775e-05,7.2775e-05
57,2459.34,2.11757,1.20493,0.82412,0.73102,0.45946,0.54379,0.23481,2.16847,1.25031,0.82534,7.228e-05,7.228e-05,7.228e-05
58,2500.56,2.10118,1.30268,0.83495,0.73312,0.4608,0.54588,0.23576,2.17168,1.24825,0.82561,7.1785e-05,7.1785e-05,7.1785e-05
59,2543.44,2.18509,1.16117,0.82002,0.73079,0.45892,0.54314,0.23529,2.16602,1.25014,0.8258,7.129e-05,7.129e-05,7.129e-05
60,2583.06,2.08734,1.18875,0.83242,0.73251,0.46024,0.5444,0.23587,2.16402,1.24964,0.8259,7.0795e-05,7.0795e-05,7.0795e-05
61,2626.13,2.22462,1.17312,0.82706,0.73332,0.46045,0.54432,0.2355,2.16152,1.24977,0.82555,7.03e-05,7.03e-05,7.03e-05
62,2669.74,2.20074,1.19172,0.83824,0.73375,0.46055,0.54481,0.23494,2.16209,1.25082,0.8259,6.9805e-05,6.9805e-05,6.9805e-05
63,2710.07,2.10517,1.18622,0.83323,0.73227,0.46005,0.54425,0.23471,2.16926,1.2506,0.82634,6.931e-05,6.931e-05,6.931e-05
64,2753.17,2.19366,1.18176,0.81456,0.7337,0.46067,0.54462,0.23336,2.17717,1.2515,0.82701,6.8815e-05,6.8815e-05,6.8815e-05
65,2790.97,2.05303,1.21391,0.83234,0.73743,0.4624,0.54778,0.23358,2.18638,1.2504,0.82726,6.832e-05,6.832e-05,6.832e-05
66,2831.64,2.17209,1.3166,0.84314,0.73771,0.4624,0.54821,0.23269,2.19151,1.25018,0.82712,6.7825e-05,6.7825e-05,6.7825e-05
67,2874.41,2.20096,1.20734,0.84629,0.73524,0.46278,0.54872,0.23211,2.19867,1.24492,0.82711,6.733e-05,6.733e-05,6.733e-05
68,2918.44,2.19,1.20482,0.82061,0.73499,0.46303,0.54782,0.23212,2.20083,1.24337,0.8269,6.6835e-05,6.6835e-05,6.6835e-05
69,2958.55,2.08197,1.18404,0.83192,0.73558,0.4624,0.54688,0.2321,2.19665,1.24475,0.82683,6.634e-05,6.634e-05,6.634e-05
70,3001.95,2.21692,1.22279,0.83854,0.73787,0.46352,0.54773,0.23337,2.19046,1.24606,0.82695,6.5845e-05,6.5845e-05,6.5845e-05
71,3044.03,2.16519,1.17367,0.81878,0.73834,0.46426,0.54826,0.23402,2.18459,1.24731,0.82683,6.535e-05,6.535e-05,6.535e-05
72,3086.58,2.18015,1.17088,0.81823,0.73635,0.46253,0.5462,0.234,2.17399,1.24916,0.82645,6.4855e-05,6.4855e-05,6.4855e-05
73,3129.03,2.12686,1.15652,0.81337,0.73497,0.4624,0.54633,0.23444,2.16657,1.25045,0.82577,6.436e-05,6.436e-05,6.436e-05
74,3167.88,2.04351,1.17909,0.83272,0.7342,0.46055,0.54391,0.23454,2.15865,1.25145,0.82531,6.3865e-05,6.3865e-05,6.3865e-05
75,3208.99,2.16244,1.22104,0.84108,0.73481,0.46067,0.54464,0.23494,2.15567,1.25442,0.82498,6.337e-05,6.337e-05,6.337e-05
76,3247.58,2.10251,1.2219,0.84334,0.73064,0.45993,0.54309,0.23511,2.14923,1.25723,0.82391,6.2875e-05,6.2875e-05,6.2875e-05
77,3293.62,2.12301,1.18516,0.81791,0.73332,0.45993,0.54369,0.23521,2.15044,1.25968,0.82409,6.238e-05,6.238e-05,6.238e-05
78,3337.05,2.10042,1.19813,0.84308,0.73273,0.45993,0.54424,0.23596,2.14786,1.2606,0.8236,6.1885e-05,6.1885e-05,6.1885e-05
79,3379.59,2.06282,1.17795,0.82902,0.73403,0.46005,0.54483,0.23654,2.14573,1.26181,0.82362,6.139e-05,6.139e-05,6.139e-05
80,3425.65,2.18539,1.20726,0.83773,0.73275,0.45946,0.54391,0.23647,2.14358,1.26177,0.82319,6.0895e-05,6.0895e-05,6.0895e-05
81,3472.51,2.1622,1.17616,0.83399,0.73145,0.45912,0.54343,0.2364,2.14541,1.26075,0.82348,6.04e-05,6.04e-05,6.04e-05
82,3519.65,2.13504,1.19392,0.83768,0.73022,0.45808,0.5424,0.23671,2.14302,1.26273,0.82364,5.9905e-05,5.9905e-05,5.9905e-05
83,3568.31,2.19004,1.19942,0.82979,0.72957,0.45832,0.54288,0.23646,2.13825,1.26104,0.82312,5.941e-05,5.941e-05,5.941e-05
84,3611.93,2.12172,1.18061,0.83144,0.73072,0.45809,0.54244,0.23634,2.13746,1.26074,0.82294,5.8915e-05,5.8915e-05,5.8915e-05
85,3658.46,2.24753,1.18111,0.81954,0.73277,0.45944,0.54392,0.23651,2.13765,1.26029,0.82291,5.842e-05,5.842e-05,5.842e-05
86,3701.71,2.0419,1.2285,0.83808,0.73086,0.45882,0.5437,0.23584,2.13808,1.2605,0.82308,5.7925e-05,5.7925e-05,5.7925e-05
87,3748.93,2.1652,1.21036,0.8151,0.73117,0.45919,0.5439,0.23558,2.14198,1.25982,0.82339,5.743e-05,5.743e-05,5.743e-05
88,3792.59,2.08628,1.22617,0.84689,0.73327,0.46067,0.54532,0.23458,2.15262,1.25668,0.82459,5.6935e-05,5.6935e-05,5.6935e-05
89,3842.75,2.17537,1.16023,0.80491,0.73491,0.46179,0.54621,0.23416,2.16173,1.25753,0.82569,5.644e-05,5.644e-05,5.644e-05
90,3889.26,2.07453,1.19185,0.82777,0.73634,0.46265,0.54729,0.23336,2.16972,1.25665,0.82627,5.5945e-05,5.5945e-05,5.5945e-05
91,3932.68,2.09521,1.20104,0.82626,0.73772,0.46327,0.54917,0.23182,2.18951,1.25308,0.82787,5.545e-05,5.545e-05,5.545e-05
92,3974.4,2.06347,1.19094,0.82754,0.73912,0.46488,0.55047,0.23248,2.19041,1.25272,0.8273,5.4955e-05,5.4955e-05,5.4955e-05
93,4020.2,2.22786,1.17303,0.8234,0.73925,0.46386,0.54937,0.23284,2.18853,1.25444,0.8273,5.446e-05,5.446e-05,5.446e-05
94,4065.59,2.04831,1.21004,0.83255,0.73845,0.46263,0.54812,0.23312,2.18735,1.25598,0.82721,5.3965e-05,5.3965e-05,5.3965e-05
95,4110.89,2.0716,1.2014,0.84386,0.7365,0.46166,0.54712,0.23379,2.17786,1.25863,0.82653,5.347e-05,5.347e-05,5.347e-05
96,4157.89,2.29082,1.22527,0.828,0.73417,0.46055,0.54488,0.23465,2.16665,1.25982,0.82557,5.2975e-05,5.2975e-05,5.2975e-05
97,4200.95,2.08079,1.68901,0.83873,0.733,0.4597,0.54451,0.23437,2.15997,1.26088,0.82457,5.248e-05,5.248e-05,5.248e-05
98,4249.12,2.07932,1.18378,0.81577,0.73097,0.46001,0.54315,0.23502,2.1568,1.26054,0.82429,5.1985e-05,5.1985e-05,5.1985e-05
99,4296.24,2.20676,1.19199,0.83369,0.73238,0.4596,0.54318,0.23534,2.14958,1.26608,0.82384,5.149e-05,5.149e-05,5.149e-05
100,4342.23,2.17454,1.21323,0.83458,0.73043,0.4582,0.54158,0.2349,2.14845,1.26844,0.82362,5.0995e-05,5.0995e-05,5.0995e-05
101,4386.69,2.11311,1.2061,0.83699,0.72983,0.45783,0.54108,0.23518,2.14502,1.2663,0.82309,5.05e-05,5.05e-05,5.05e-05
102,4429.05,2.13645,1.2008,0.82971,0.73026,0.45869,0.5422,0.2357,2.1418,1.26674,0.82226,5.0005e-05,5.0005e-05,5.0005e-05
103,4470.98,2.05225,1.29041,0.83131,0.73133,0.46005,0.54305,0.23593,2.14744,1.26594,0.82269,4.951e-05,4.951e-05,4.951e-05
104,4515.66,2.17227,1.19016,0.83518,0.73234,0.46005,0.54334,0.23637,2.15109,1.26274,0.82248,4.9015e-05,4.9015e-05,4.9015e-05
105,4559.05,2.0666,1.1796,0.83589,0.73107,0.46025,0.54482,0.23633,2.15415,1.26493,0.82289,4.852e-05,4.852e-05,4.852e-05
106,4605.13,2.10724,1.16659,0.82299,0.73243,0.46005,0.54614,0.23642,2.15486,1.26515,0.82297,4.8025e-05,4.8025e-05,4.8025e-05
107,4648.81,2.10713,1.17133,0.82676,0.73495,0.46179,0.54683,0.23621,2.16144,1.2634,0.82346,4.753e-05,4.753e-05,4.753e-05
108,4696.31,2.25671,1.33347,0.82727,0.73385,0.46141,0.54633,0.2363,2.16177,1.26267,0.82346,4.7035e-05,4.7035e-05,4.7035e-05
109,4741.73,2.01894,5.18499,0.78142,0.73376,0.46166,0.54724,0.236,2.1634,1.25862,0.82363,4.654e-05,4.654e-05,4.654e-05
