epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2553.22,2.27632,1.37893,1.11112,0.55388,0.3568,0.39303,0.07803,3.03448,1.50964,1.31878,0.0008647,0.0008647,0.0008647
43,2610.38,2.28262,1.74488,1.2166,0.55388,0.3568,0.39303,0.07803,3.03448,1.50964,1.31878,0.0008614,0.0008614,0.0008614
44,2666.64,2.23227,1.41714,1.1146,0.55388,0.3568,0.39303,0.07803,3.03448,1.50964,1.31878,0.0008581,0.0008581,0.0008581
45,2723.28,2.35581,1.46183,1.1479,0.66398,0.39915,0.47207,0.10503,2.93741,1.49371,1.29859,0.0008548,0.0008548,0.0008548
46,2777.5,2.1735,1.34845,1.17174,0.66398,0.39915,0.47207,0.10503,2.93741,1.49371,1.29859,0.0008515,0.0008515,0.0008515
47,2832.16,2.05399,1.30723,1.14003,0.66398,0.39915,0.47207,0.10503,2.93741,1.49371,1.29859,0.0008482,0.0008482,0.0008482
48,2889.38,2.17271,1.39791,1.16254,0.72159,0.4328,0.52084,0.17787,2.47036,1.39156,1.13107,0.0008449,0.0008449,0.0008449
49,2951.89,2.0985,1.23978,1.05605,0.72159,0.4328,0.52084,0.17787,2.47036,1.39156,1.13107,0.0008416,0.0008416,0.0008416
50,3011.8,2.22387,1.22318,1.04923,0.72159,0.4328,0.52084,0.17787,2.47036,1.39156,1.13107,0.0008383,0.0008383,0.0008383
51,3068.62,2.21083,1.40782,1.18718,0.72159,0.4328,0.52084,0.17787,2.47036,1.39156,1.13107,0.000835,0.000835,0.000835
52,3128.23,2.16165,1.24351,1.0247,0.704,0.4272,0.51749,0.19859,2.22268,1.387,1.04453,0.0008317,0.0008317,0.0008317
53,3185.1,2.28139,1.49317,1.17077,0.704,0.4272,0.51749,0.19859,2.22268,1.387,1.04453,0.0008284,0.0008284,0.0008284
54,3243.23,2.20384,1.42145,1.15127,0.704,0.4272,0.51749,0.19859,2.22268,1.387,1.04453,0.0008251,0.0008251,0.0008251
55,3301.93,2.0969,1.39836,1.09746,0.69392,0.4252,0.51012,0.18811,2.20355,1.40337,1.0286,0.0008218,0.0008218,0.0008218
56,3360.09,2.27532,1.45708,1.12498,0.69392,0.4252,0.51012,0.18811,2.20355,1.40337,1.0286,0.0008185,0.0008185,0.0008185
57,3412.81,2.17018,1.41367,1.09683,0.69392,0.4252,0.51012,0.18811,2.20355,1.40337,1.0286,0.0008152,0.0008152,0.0008152
58,3468.13,2.03372,1.31415,1.08233,0.69392,0.4252,0.51012,0.18811,2.20355,1.40337,1.0286,0.0008119,0.0008119,0.0008119
59,3522.06,2.12162,1.37397,1.1106,0.73504,0.44165,0.54321,0.18607,2.38917,1.39648,1.06907,0.0008086,0.0008086,0.0008086
60,3576.25,2.11105,1.39687,1.13002,0.73504,0.44165,0.54321,0.18607,2.38917,1.39648,1.06907,0.0008053,0.0008053,0.0008053
61,3633.39,2.15186,1.2933,1.04091,0.73504,0.44165,0.54321,0.18607,2.38917,1.39648,1.06907,0.000802,0.000802,0.000802
62,3696.79,2.06129,1.28321,1.05376,0.73504,0.44165,0.54321,0.18607,2.38917,1.39648,1.06907,0.0007987,0.0007987,0.0007987
63,3755.05,2.06546,1.31716,1.07986,0.72883,0.436,0.54926,0.20054,2.28375,1.41329,1.04677,0.0007954,0.0007954,0.0007954
64,3811.61,2.05927,1.38258,1.09804,0.72883,0.436,0.54926,0.20054,2.28375,1.41329,1.04677,0.0007921,0.0007921,0.0007921
65,3870.81,2.09661,1.37699,1.10024,0.72883,0.436,0.54926,0.20054,2.28375,1.41329,1.04677,0.0007888,0.0007888,0.0007888
66,3930.39,1.9973,1.27082,1.02093,0.73659,0.4396,0.55187,0.21388,2.19589,1.38488,1.02565,0.0007855,0.0007855,0.0007855
67,3994.78,2.17211,1.28275,1.03138,0.73659,0.4396,0.55187,0.21388,2.19589,1.38488,1.02565,0.0007822,0.0007822,0.0007822
68,4054.63,2.00771,1.29678,1.03429,0.73659,0.4396,0.55187,0.21388,2.19589,1.38488,1.02565,0.0007789,0.0007789,0.0007789
69,4116.46,2.11679,1.45245,1.11662,0.73659,0.4396,0.55187,0.21388,2.19589,1.38488,1.02565,0.0007756,0.0007756,0.0007756
70,4179.91,1.9909,1.2801,1.03065,0.73197,0.4332,0.52081,0.21003,2.09015,1.38363,0.99847,0.0007723,0.0007723,0.0007723
71,4236.79,1.95681,1.36376,1.07424,0.73197,0.4332,0.52081,0.21003,2.09015,1.38363,0.99847,0.000769,0.000769,0.000769
72,4292.37,2.04248,1.40115,1.09937,0.73197,0.4332,0.52081,0.21003,2.09015,1.38363,0.99847,0.0007657,0.0007657,0.0007657
73,4347.34,1.88407,1.29603,1.0571,0.72927,0.4308,0.51994,0.2052,2.16522,1.38624,1.01504,0.0007624,0.0007624,0.0007624
74,4407.98,2.03758,1.30097,1.09057,0.72927,0.4308,0.51994,0.2052,2.16522,1.38624,1.01504,0.0007591,0.0007591,0.0007591
75,4468.24,1.9885,1.32703,1.081,0.72927,0.4308,0.51994,0.2052,2.16522,1.38624,1.01504,0.0007558,0.0007558,0.0007558
76,4526.01,1.98733,1.30827,1.04265,0.72927,0.4308,0.51994,0.2052,2.16522,1.38624,1.01504,0.0007525,0.0007525,0.0007525
77,4588.86,2.03497,1.23874,0.98682,0.75386,0.44472,0.55339,0.20136,2.22417,1.36511,1.0336,0.0007492,0.0007492,0.0007492
78,4648.12,1.97335,1.32463,1.0674,0.75386,0.44472,0.55339,0.20136,2.22417,1.36511,1.0336,0.0007459,0.0007459,0.0007459
79,4709.81,2.02938,1.30779,1.06693,0.75386,0.44472,0.55339,0.20136,2.22417,1.36511,1.0336,0.0007426,0.0007426,0.0007426
80,4770.37,2.01946,1.4916,1.07686,0.7395,0.4352,0.53693,0.19564,2.23597,1.37667,1.04071,0.0007393,0.0007393,0.0007393
81,4826.25,2.04375,1.30991,1.07132,0.7395,0.4352,0.53693,0.19564,2.23597,1.37667,1.04071,0.000736,0.000736,0.000736
82,4882.19,1.98569,1.3572,1.13012,0.7395,0.4352,0.53693,0.19564,2.23597,1.37667,1.04071,0.0007327,0.0007327,0.0007327
83,4938.9,1.99216,1.29918,1.06558,0.7395,0.4352,0.53693,0.19564,2.23597,1.37667,1.04071,0.0007294,0.0007294,0.0007294
84,4996.11,1.9699,1.30138,1.07166,0.72665,0.4296,0.52173,0.18063,2.30789,1.3651,1.05335,0.0007261,0.0007261,0.0007261
85,5050.19,1.95766,1.33648,1.08693,0.72665,0.4296,0.52173,0.18063,2.30789,1.3651,1.05335,0.0007228,0.0007228,0.0007228
86,5107.54,1.98577,1.37113,1.10341,0.72665,0.4296,0.52173,0.18063,2.30789,1.3651,1.05335,0.0007195,0.0007195,0.0007195
87,5165.54,2.00296,1.23189,1.04101,0.7558,0.4464,0.54431,0.19908,2.25324,1.33338,1.03586,0.0007162,0.0007162,0.0007162
88,5225.06,2.00701,1.29048,1.03957,0.7558,0.4464,0.54431,0.19908,2.25324,1.33338,1.03586,0.0007129,0.0007129,0.0007129
89,5286.14,1.95861,1.20001,1.00297,0.7558,0.4464,0.54431,0.19908,2.25324,1.33338,1.03586,0.0007096,0.0007096,0.0007096
