epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3839.47,2.17978,1.15946,0.84773,0.81475,0.49895,0.62107,0.32271,1.92544,1.06704,0.793,8.4952e-05,8.4952e-05,8.4952e-05
40,3938.05,2.22589,1.17589,0.85304,0.81531,0.4988,0.62181,0.32457,1.9159,1.06704,0.79241,8.4556e-05,8.4556e-05,8.4556e-05
41,4037.09,2.25102,1.15576,0.82663,0.81572,0.4974,0.62146,0.3251,1.90629,1.06923,0.79159,8.416e-05,8.416e-05,8.416e-05
42,4131.16,2.14207,1.16702,0.83197,0.81378,0.49819,0.62087,0.32391,1.90956,1.07152,0.79193,8.3764e-05,8.3764e-05,8.3764e-05
43,4226.64,2.17173,1.14856,0.83102,0.81635,0.49986,0.62276,0.32317,1.92207,1.0646,0.79265,8.3368e-05,8.3368e-05,8.3368e-05
44,4327.5,2.27339,1.15152,0.82513,0.81387,0.50025,0.62243,0.32317,1.92414,1.06699,0.79213,8.2972e-05,8.2972e-05,8.2972e-05
45,4421.97,2.24522,1.17135,0.82706,0.81091,0.49828,0.62035,0.32551,1.89565,1.07179,0.79046,8.2576e-05,8.2576e-05,8.2576e-05
46,4521.04,2.1875,1.14219,0.82415,0.81146,0.49772,0.62025,0.32589,1.8936,1.06867,0.7913,8.218e-05,8.218e-05,8.218e-05
47,4616.44,2.19834,1.15317,0.8285,0.81286,0.49805,0.62065,0.32525,1.90357,1.06935,0.79254,8.1784e-05,8.1784e-05,8.1784e-05
48,4713.89,2.16467,1.15718,0.84847,0.81328,0.49975,0.62187,0.3246,1.91733,1.06764,0.79364,8.1388e-05,8.1388e-05,8.1388e-05
49,4809.95,2.23725,1.13578,0.8239,0.81711,0.50102,0.62422,0.32355,1.93738,1.0622,0.79479,8.0992e-05,8.0992e-05,8.0992e-05
50,4908.15,2.24649,1.1411,0.81928,0.81324,0.49939,0.62165,0.32399,1.91666,1.06737,0.79291,8.0596e-05,8.0596e-05,8.0596e-05
51,5005.44,2.13534,1.14432,0.84186,0.8101,0.49453,0.61747,0.32395,1.88957,1.07843,0.79162,8.02e-05,8.02e-05,8.02e-05
52,5099.01,2.12274,1.12146,0.83181,0.81152,0.49444,0.61767,0.32545,1.88343,1.07464,0.79149,7.9804e-05,7.9804e-05,7.9804e-05
53,5196.44,2.17526,1.13799,0.82962,0.81145,0.49811,0.62043,0.32664,1.88762,1.07199,0.79111,7.9408e-05,7.9408e-05,7.9408e-05
